Archaeoglobi_archaeon_JdFR_42	ARAR
Archaeoglobus_fulgidus_DSM_4304	ARFU
Archaeoglobus_sulfaticallidus_PM70-1	ARSU
Archaeoglobus_veneficus_SNP6	ARVE
bin_117	CAHIYAMABIN3
bin_125	CAHISPBIN4
bin_160	CAHISPBIN5
bin_172	CAHIYAMABIN2
bin_91	CAHIYAMABIN1
Candidatus_Halobonum_tyrrellensis_G22	CAHA
Candidatus_Methanoperedens_nitroreducens	CAME
Candidatus_Syntrophoarchaeum_butanivorans	CASYB
Candidatus_Syntrophoarchaeum_caldarius	CASYC
Euryarchaeota_archaeon_JdFR_21	EUARJ2
Euryarchaeota_archaeon_JGI_0000059_G05.genes	EUARJ0G
Ferroglobus_placidus_DSM_10642	FEPL
Geoglobus_acetivorans	GEAC
Haladaptatus_cibarius_D43	HACI
Halalkalicoccus_jeotgali_B3	HAJE
haloarchaeon_3A1_DGR	HA3A
Haloarcula_hispanica_ATCC_33960	HAHI
Halococcus_salifodinae_DSM_8989	HASA
Haloferax_volcanii_DS2	HAVO
Halogeometricum_borinquense_DSM_11551	HABO
Halogranum_salarium_B-1	HASAB1
Halohasta_litchfieldiae_tADL.genes	HAAR
Halomicrobium_mukohataei_DSM_12286	HAMU
halophilic_archaeon_DL31.genes	HAARD
halophilic_archaeon_J07HB67	HAARJ07HB
halophilic_archaeon_J07HX64	HAARJ07HX
Haloplanus_natans_DSM_17983	HANA
Haloquadratum_walsbyi_DSM_16790	HAWA
Halorhabdus_tiamatea_SARL4B	HATI
Halorubrum_lacusprofundi_ATCC_49239	HALA
Halostagnicola_larsenii_XH-48	HALAX4D1
Haloterrigena_turkmenica_DSM_5511	HATU
Halovivax_ruber_XH-70	HARU
Methanocella_arvoryzae_MRE50	MEARMR
Methanocella_conradii_HZ254	MECOH
Methanocella_paludicola_SANAE	MEPASA
Methanocorpusculum_labreanum_Z	MELAZ
Methanolacinia_petrolearia_DSM_11571	MEPE
Methanomicrobia_archaeon_JdFR_19	MEARJ1
Methanomicrobiales_archaeon_53_19	MEAR51
Methanomicrobiales_archaeon_Methan_06	MEARME06
Methanomicrobiales_archaeon_Methan_07	MEARME07
Methanosaeta_concilii_GP6	MECOG
Methanosarcina_acetivorans_C2A	MEAC
Methanosarcinales_archaeon_Methan_01	MEARME01
Methanosarcinales_archaeon_Methan_02	MEARME02
Methanosarcinales_archaeon_Methan_03	MEARME03
Methanosphaerula_palustris_E1-9c	MEPA
Methanospirillum_hungatei_JF-1	MEHU
Methermicoccus_shengliensis_DSM_18856	MESH
Natrialba_magadii_ATCC_43099	NAMA
Natronococcus_occultus_SP4	NAOC
Natronomonas_pharaonis_DSM_2160	NAPH
