assembly	excluded	selectionGroup	source	taxid	name	group	subgroup	gcode	superkingdom	phylum	class	order	family	genus	species	taxostring	size	scaffolds	genes	refseq_category	assembly_level	biosample	bioproject	wgs	wgs_master	is_public	jgiid	ftp_path	shortName	prefix	genomeFile	proteomeFile	completeness	expected_result
GCA_001515195.1	0_included	Euryarchaeota	genbank	1775755	Hadesarchaea archaeon DG-33-1	Euryarchaeota	Hadesarchaea	11	Archaea	Euryarchaeota	Hadesarchaea	NA	NA	NA	Hadesarchaea archaeon DG-33-1	Archaea;Euryarchaeota;Hadesarchaea;NA;NA;NA;Hadesarchaea archaeon DG-33-1	9287690	53	1051	na	Scaffold	SAMN04385804	PRJNA270657	LQHJ01	LQHJ00000000.1	-	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/515/195/GCA_001515195.1_DG-33-1	Hadesarchaea_archaeon_DG_33_1	HadArh	/local/one/people/MaxEmil/MarineGroupIV/1_taxon_sampling_Eury/genomicData/Hadesarchaea_archaeon_DG_33_1/GCA_001515195.1_DG-33-1_genomic.fna	/local/one/people/MaxEmil/MarineGroupIV/1_taxon_sampling_Eury/genomicData/Hadesarchaea_archaeon_DG_33_1/GCA_001515195.1_DG-33-1_protein.faa	0.625	included
X1	0_included	-	local	-	bin_117	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	bin_117	bin117	/local/one/people/MaxEmil/MarineGroupIV/1_taxon_sampling_Eury/bins/bin_117/PROKKA_07112016.fna	/local/one/people/MaxEmil/MarineGroupIV/1_taxon_sampling_Eury/bins/bin_117/bin_117_PROKKA.faa	0.642857142857143	included
GCA_001595805.1	0_included	Euryarchaeota	genbank	1803816	Thermoplasmatales archaeon SG8-52-1	Euryarchaeota	Thermoplasmata	11	Archaea	Euryarchaeota	Thermoplasmata	Thermoplasmatales	NA	NA	Thermoplasmatales archaeon SG8-52-1	Archaea;Euryarchaeota;Thermoplasmata;Thermoplasmatales;NA;NA;Thermoplasmatales archaeon SG8-52-1	20654800	79	2005	na	Contig	SAMN04495909	PRJNA270657	LSSD01	LSSD00000000.1	-	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/595/805/GCA_001595805.1_ASM159580v1	Thermoplasmatales_archaeon_SG8_52_1	tan8la	/local/one/people/MaxEmil/MarineGroupIV/1_taxon_sampling_Eury/genomicData/Thermoplasmatales_archaeon_SG8_52_1/GCA_001595805.1_ASM159580v1_genomic.fna	/local/one/people/MaxEmil/MarineGroupIV/1_taxon_sampling_Eury/genomicData/Thermoplasmatales_archaeon_SG8_52_1/GCA_001595805.1_ASM159580v1_protein.faa	0.642857142857143	included
GCA_002011115.1	0_included	Euryarchaeota	genbank	1935128	Candidatus Hydrothermarchaeota archaeon JdFR-17	Euryarchaeota	unclassified Euryarchaeota	11	Archaea	Euryarchaeota	NA	NA	NA	NA	Candidatus Hydrothermarchaeota archaeon JdFR-17	Archaea;Euryarchaeota;NA;NA;NA;NA;Candidatus Hydrothermarchaeota archaeon JdFR-17	21781300	344	-	na	Contig	SAMN06226334	PRJNA269163	MTME01	MTME00000000.1	-	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/011/115/GCA_002011115.1_ASM201111v1	Ca_Hydrothermarchaeota_archaeon_JdFR_17	HydArh	/local/one/people/MaxEmil/MarineGroupIV/1_taxon_sampling_Eury/genomicData/Ca_Hydrothermarchaeota_archaeon_JdFR_17/GCA_002011115.1_ASM201111v1_genomic.fna	/local/one/people/MaxEmil/MarineGroupIV/1_taxon_sampling_Eury/genomicData/Ca_Hydrothermarchaeota_archaeon_JdFR_17/Ca_Hydrothermarchaeota_archaeon_JdFR_17.faa	0.660714285714286	included
2264265207	0_included	Euryarchaeota	jgi	1130313	Euryarchaeota archaeon JGI 0000059-G05 (unscreened)	-	-	11	Archaea	Euryarchaeota	NA	NA	NA	NA	euryarchaeote JGI 0000059-G05	Archaea;Euryarchaeota;NA;NA;NA;NA;euryarchaeote JGI 0000059-G05	1436642	167	1653	na	Permanent Draft	SAMN02745955	PRJNA165483	-	-	Yes	404480	-	Euryarchaeota_archaeon_JGI_0000059_G05	a090ar	/local/one/people/MaxEmil/MarineGroupIV/1_taxon_sampling_Eury/genomicData/Euryarchaeota_archaeon_JGI_0000059_G05/Euryarchaeota_archaeon_JGI_0000059_G05.fna	/local/one/people/MaxEmil/MarineGroupIV/1_taxon_sampling_Eury/genomicData/Euryarchaeota_archaeon_JGI_0000059_G05/Euryarchaeota_archaeon_JGI_0000059_G05.genes.faa	0.660714285714286	included
GCA_002168725.1	0_included	Euryarchaeota	genbank	1986692	Euryarchaeota archaeon TMED252	Euryarchaeota	unclassified Euryarchaeota	11	Archaea	Euryarchaeota	NA	NA	NA	NA	Euryarchaeota archaeon TMED252	Archaea;Euryarchaeota;NA;NA;NA;NA;Euryarchaeota archaeon TMED252	12514000	70	1050	na	Contig	SAMN06972106	PRJNA385857	NHKX01	NHKX00000000.1	-	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/168/725/GCA_002168725.1_ASM216872v1	Euryarchaeota_archaeon_TMED252	EhaTyr	/local/one/people/MaxEmil/MarineGroupIV/1_taxon_sampling_Eury/genomicData/Euryarchaeota_archaeon_TMED252/GCA_002168725.1_ASM216872v1_genomic.fna	/local/one/people/MaxEmil/MarineGroupIV/1_taxon_sampling_Eury/genomicData/Euryarchaeota_archaeon_TMED252/GCA_002168725.1_ASM216872v1_protein.faa	0.660714285714286	included
GCA_001595865.1	0_included	Euryarchaeota	genbank	1803817	Thermoplasmatales archaeon SG8-52-2	Euryarchaeota	Thermoplasmata	11	Archaea	Euryarchaeota	Thermoplasmata	Thermoplasmatales	NA	NA	Thermoplasmatales archaeon SG8-52-2	Archaea;Euryarchaeota;Thermoplasmata;Thermoplasmatales;NA;NA;Thermoplasmatales archaeon SG8-52-2	13559000	68	1331	na	Contig	SAMN04495910	PRJNA270657	LSSE01	LSSE00000000.1	-	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/595/865/GCA_001595865.1_ASM159586v1	Thermoplasmatales_archaeon_SG8_52_2	Tma2op	/local/one/people/MaxEmil/MarineGroupIV/1_taxon_sampling_Eury/genomicData/Thermoplasmatales_archaeon_SG8_52_2/GCA_001595865.1_ASM159586v1_genomic.fna	/local/one/people/MaxEmil/MarineGroupIV/1_taxon_sampling_Eury/genomicData/Thermoplasmatales_archaeon_SG8_52_2/GCA_001595865.1_ASM159586v1_protein.faa	0.678571428571429	included
GCA_001800675.1	0_included	Euryarchaeota	genbank	1797977	Euryarchaeota archaeon RBG_13_57_23	Euryarchaeota	unclassified Euryarchaeota	11	Archaea	Euryarchaeota	NA	NA	NA	NA	Euryarchaeota archaeon RBG_13_57_23	Archaea;Euryarchaeota;NA;NA;NA;NA;Euryarchaeota archaeon RBG_13_57_23	15208100	66	1481	na	Scaffold	SAMN04316265	PRJNA288027	MGVW01	MGVW00000000.1	-	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/800/675/GCA_001800675.1_ASM180067v1	Euryarchaeota_archaeon_RBG_13_57_23	hG32aa	/local/one/people/MaxEmil/MarineGroupIV/1_taxon_sampling_Eury/genomicData/Euryarchaeota_archaeon_RBG_13_57_23/GCA_001800675.1_ASM180067v1_genomic.fna	/local/one/people/MaxEmil/MarineGroupIV/1_taxon_sampling_Eury/genomicData/Euryarchaeota_archaeon_RBG_13_57_23/GCA_001800675.1_ASM180067v1_protein.faa	0.696428571428571	included
GCA_001875425.1	0_included	Euryarchaeota	genbank	1889001	Marine Group III euryarchaeote CG-Bathy1	Euryarchaeota	unclassified Euryarchaeota	11	Archaea	Euryarchaeota	NA	NA	NA	NA	Marine Group III euryarchaeote CG-Bathy1	Archaea;Euryarchaeota;NA;NA;NA;NA;Marine Group III euryarchaeote CG-Bathy1	10429300	22	1008	na	Contig	SAMN05509055	PRJNA335308	MIYU01	MIYU00000000.1	-	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/875/425/GCA_001875425.1_ASM187542v1	Marine_Group_III_euryarchaeote_CG_Bathy	MarGru	/local/one/people/MaxEmil/MarineGroupIV/1_taxon_sampling_Eury/genomicData/Marine_Group_III_euryarchaeote_CG_Bathy/GCA_001875425.1_ASM187542v1_genomic.fna	/local/one/people/MaxEmil/MarineGroupIV/1_taxon_sampling_Eury/genomicData/Marine_Group_III_euryarchaeote_CG_Bathy/GCA_001875425.1_ASM187542v1_protein.faa	0.696428571428571	included
X2	0_included	-	local	-	bin_125	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	bin_125	bin125	/local/one/people/MaxEmil/MarineGroupIV/1_taxon_sampling_Eury/bins/bin_125/PROKKA_07122016.fna	/local/one/people/MaxEmil/MarineGroupIV/1_taxon_sampling_Eury/bins/bin_125/bin_125_PROKKA.faa	0.714285714285714	included
GCA_001603205.1	0_included	Euryarchaeota	genbank	1674800	Methanosarcinales archaeon Methan_03	Euryarchaeota	Methanomicrobia	11	Archaea	Euryarchaeota	Methanomicrobia	Methanosarcinales	NA	NA	Methanosarcinales archaeon Methan_03	Archaea;Euryarchaeota;Methanomicrobia;Methanosarcinales;NA;NA;Methanosarcinales archaeon Methan_03	19998800	772	-	na	Scaffold	SAMN03837485	PRJNA284316	LUYG01	LUYG00000000.1	-	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/603/205/GCA_001603205.1_ASM160320v1	Methanosarcinales_archaeon_Methan_03	MetAr0	/local/one/people/MaxEmil/MarineGroupIV/1_taxon_sampling_Eury/genomicData/Methanosarcinales_archaeon_Methan_03/GCA_001603205.1_ASM160320v1_genomic.fna	/local/one/people/MaxEmil/MarineGroupIV/1_taxon_sampling_Eury/genomicData/Methanosarcinales_archaeon_Methan_03/Methanosarcinales_archaeon_Methan_03.faa	0.714285714285714	included
GCA_001800735.1	0_included	Euryarchaeota	genbank	1797979	Euryarchaeota archaeon RBG_16_62_10	Euryarchaeota	unclassified Euryarchaeota	11	Archaea	Euryarchaeota	NA	NA	NA	NA	Euryarchaeota archaeon RBG_16_62_10	Archaea;Euryarchaeota;NA;NA;NA;NA;Euryarchaeota archaeon RBG_16_62_10	14949100	116	1616	na	Scaffold	SAMN04316256	PRJNA288027	MGVY01	MGVY00000000.1	-	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/800/735/GCA_001800735.1_ASM180073v1	Euryarchaeota_archaeon_RBG_16_62_10	Etahe0	/local/one/people/MaxEmil/MarineGroupIV/1_taxon_sampling_Eury/genomicData/Euryarchaeota_archaeon_RBG_16_62_10/GCA_001800735.1_ASM180073v1_genomic.fna	/local/one/people/MaxEmil/MarineGroupIV/1_taxon_sampling_Eury/genomicData/Euryarchaeota_archaeon_RBG_16_62_10/GCA_001800735.1_ASM180073v1_protein.faa	0.714285714285714	included
GCA_001800755.1	0_included	Euryarchaeota	genbank	1797981	Euryarchaeota archaeon RBG_16_68_12	Euryarchaeota	unclassified Euryarchaeota	11	Archaea	Euryarchaeota	NA	NA	NA	NA	Euryarchaeota archaeon RBG_16_68_12	Archaea;Euryarchaeota;NA;NA;NA;NA;Euryarchaeota archaeon RBG_16_68_12	17626200	131	1997	na	Scaffold	SAMN04316254	PRJNA288027	MGWA01	MGWA00000000.1	-	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/800/755/GCA_001800755.1_ASM180075v1	Euryarchaeota_archaeon_RBG_16_68_12	rcrcae	/local/one/people/MaxEmil/MarineGroupIV/1_taxon_sampling_Eury/genomicData/Euryarchaeota_archaeon_RBG_16_68_12/GCA_001800755.1_ASM180075v1_genomic.fna	/local/one/people/MaxEmil/MarineGroupIV/1_taxon_sampling_Eury/genomicData/Euryarchaeota_archaeon_RBG_16_68_12/GCA_001800755.1_ASM180075v1_protein.faa	0.714285714285714	included
